Date,COST,PYPL,EBAY,DIS,ATVI,AMZN
10/01/22,515.3866224,182.95,63.38957554,156.6,62.73722508,161.097999
07/01/22,532.6522729,187.6,65.10758324,157.83,63.66173181,162.163433
06/01/22,546.1826619,192.27,65.58862539,156.9,63.44303129,162.8617511
05/01/22,546.3018724,187.16,63.31103804,155.19,65.89844162,163.9621009
04/01/22,560.5177216,191.14,63.94915519,155.73,66.80306648,167.1194964
03/01/22,562.9814047,194.94,65.57880821,156.76,67.021767,169.9950706
31/12/21,563.9648912,188.58,65.2842926,154.89,66.137024,166.3164306
30/12/21,560.199827,191.88,65.55917383,155.93,67.09135353,168.2392994
29/12/21,564.0344306,189.97,65.24502385,154.87,66.76330275,168.7944623
28/12/21,560.925024,190.1,64.87197075,155.2,66.27619706,170.2509543
27/12/21,559.7627219,192.01,64.4596489,152.8,65.06340329,169.2618366
23/12/21,546.7489117,192.01,63.70372552,153.63,64.77511625,170.6574753
22/12/21,546.0535172,191.68,62.77109276,151.88,63.7213774,170.6260509
21/12/21,541.8414137,189.14,62.54529747,151.05,63.21438985,170.0075406
20/12/21,544.9508203,182.68,62.62383496,146.47,61.43496293,166.6775608
17/12/21,544.0070707,186.2,62.85944745,148.76,60.9975619,169.6090005
16/12/21,548.9940423,188.75,62.86926463,148.75,61.12679402,168.4652552
15/12/21,561.7594974,190.66,64.41056297,150.4,59.90405932,172.8985776
14/12/21,541.7520059,186.8,64.64617545,149.1,59.16843031,168.6852254
13/12/21,553.553843,186.38,65.47081915,150.43,58.35327385,169.1600817
10/12/21,555.143316,188.51,65.66716289,152.71,58.25386452,171.7982278
09/12/21,520.8802385,191.75,65.38246447,152.94,58.72108835,173.7525209
08/12/21,526.6222097,197.35,65.93222693,153.34,58.919907,175.7347468
07/12/21,538.4538494,191.02,66.00094724,150.81,58.42286037,175.7412311
06/12/21,529.6918795,184.86,64.86215356,150.37,57.74687696,170.9567544
03/12/21,525.4499734,183.93,65.82423788,146.22,57.02118889,169.0822691
02/12/21,522.0524748,187.15,66.24637691,147.2,56.95160236,171.4550543
01/12/21,526.3539861,179.32,65.58862539,142.15,56.94166143,171.7722902
30/11/21,535.8312189,184.89,66.22674254,144.9,58.25386452,174.9321797
29/11/21,551.2292387,187.24,69.07594154,147.81,59.95376398,177.6506324
26/11/21,542.5368082,187.79,70.95582542,148.11,60.26193289,174.8069813
24/11/21,546.1131225,188.71,71.1418556,151.34,60.55021993,178.5903691
23/11/21,541.6725322,188.05,70.15295835,151.03,61.40514013,178.5719135
22/11/21,536.0994425,189.48,72.03284223,154.16,61.83260023,178.1993109
19/11/21,530.2779976,193.61,73.07069479,154,62.01153701,183.3868169
18/11/21,525.8870784,200.5,73.15881435,155.58,62.29982405,184.3589755
17/11/21,522.8273429,206.27,71.84681206,157.33,63.82078673,177.0236425
16/11/21,523.2545138,215.67,74.30436859,158.83,65.74932764,176.6096396
15/11/21,516.4694509,212.54,72.65947019,158.43,70.01398768,176.8580413
12/11/21,513.7673468,208.3,72.36573834,159.63,69.27835868,175.8340077
11/11/21,508.8101778,202.03,71.76848356,162.11,67.10129446,173.2078328
10/11/21,502.1840622,204.64,71.69994613,174.45,66.26625613,173.6841855
09/11/21,505.3630082,205.42,72.41469364,175.11,66.70365716,178.3818712
08/11/21,500.4952472,229.42,72.21887241,176.87,66.42531105,174.029853
05/11/21,509.7439932,225.78,73.99105461,175.63,67.42934523,175.5267477
04/11/21,512.2275448,228.22,74.68622,170.28,67.82698253,173.4322922
03/11/21,499.0249846,230.38,73.87356186,170.08,66.35572452,168.7934647
02/11/21,493.7201185,229.46,73.33505346,169.83,77.21122282,165.2395243
01/11/21,488.6338049,231.28,74.70580212,170.19,78.88129948,165.5068803
29/10/21,488.305976,232.59,75.11702672,169.07,77.72815131,168.2163546
28/10/21,487.3026212,236.83,70.89707905,169.68,78.41407566,171.9144479
27/10/21,485.1106917,234.94,76.03738654,169.55,78.18543421,169.2169447
26/10/21,481.5599643,243,76.85983574,172.04,80.28297097,168.3979173
25/10/21,486.0925968,246.88,78.88658555,172.01,80.71043107,165.6196088
22/10/21,478.0489099,240.4,78.90616767,169.42,78.80177202,166.3767852
21/10/21,473.327831,243.21,74.61768257,171.34,78.23513887,171.3378366
20/10/21,465.9288292,258.36,74.38269708,170.55,77.61880106,170.3427333
19/10/21,463.2608245,271.7,73.15881435,171.18,76.72411713,171.7937386
18/10/21,458.172771,270.33,72.69863444,171.14,75.94872439,171.9229274
15/10/21,448.6909403,268.35,73.33505346,176.46,75.94872439,170.0414589
