Date,COST,PYPL,EBAY,DIS,ATVI,AMZN,COST Pos,PYPL Pos,EBAY Pos,DIS Pos,ATVI Pos,AMZN Pos,Total Pos,Daily return,Cumulative return
25/02/20,291.1647394,109.66,34.89768357,128.19,58.49333069,98.40000577,3467.438720702643,5259.472422062349,2333.913445359995,2199.039087685933,2709.429582074852,5161.619492272068,21130.91275015784,-0.03567380007770471,1.1130912750157846
26/02/20,291.9478767,109.11,35.11782804,123.36,58.35572245,98.74168284,3476.764989409638,5233.0935251798555,2348.6364322718355,2116.182712044127,2703.055524865335,5179.542326836698,21057.27551060749,-0.0034848111116165814,1.1057275510607494
27/02/20,279.9525045,107.84,33.53853078,118.04,57.33348982,93.98863047,3333.913838816229,5172.182254196642,2243.0150060834553,2024.9206171343124,2655.7053860578403,4930.218685351083,20359.955787639563,-0.03311538202635267,1.0359955787639565
28/02/20,268.5015083,107.99,33.30881482,117.65,57.13690662,93.96119654,3197.545583180881,5179.376498800959,2227.6518898874374,2018.230350778142,2646.599590044245,4928.779625396467,20198.18353808813,-0.007945609078858773,1.0198183538088137
02/03/20,295.2427839,112.86,34.57808836,119.98,59.55487996,97.46276309,3516.0035621500915,5412.949640287769,2312.539317298015,2058.200403623982,2758.6008800850655,5112.455978019996,21170.749781464918,0.0481511736707807,1.1170749781464924
03/03/20,289.1209419,109.76,35.30888222,116.45,57.74631454,95.22016434,3443.099432218128,5264.268585131895,2361.4138969594214,1997.644915836078,2674.8275576863916,4994.8193851075785,20736.073772939493,-0.02053191374950669,1.0736073772939498
04/03/20,306.3213124,115.3,37.01086266,119.18,61.48139531,98.55413455,3647.9361538796647,5529.976019184652,2475.240220838136,2044.4767803292727,2847.8376805551006,5169.704391342375,21715.171246129197,0.04721710984976446,1.1715171246129201
05/03/20,301.5651855,112.18,35.78966766,113.98,60.46899184,95.97035752,3591.296127317315,5380.335731414868,2393.5682260712238,1955.2732289136645,2800.942831548286,5034.171128133981,21155.58727339934,-0.02576926363542298,1.115558727339934
06/03/20,297.3438841,110.89,34.99156384,115.27,58.94547205,94.82611341,3541.025260191445,5318.4652278177455,2340.192040441171,1977.4025714763823,2730.372912906122,4974.149254599762,20881.607267432628,-0.012950716159565445,1.0881607267432631
09/03/20,288.4046577,101.63,34.15499718,104.35,56.37023215,89.81418453,3434.569307398668,4874.340527577937,2284.2435081611557,1790.0751135036048,2611.086986054425,4711.246121632909,19705.5615643287,-0.056319692638703844,0.9705561564328702
10/03/20,295.4910958,109.74,34.65501403,111.46,59.67282988,94.36372705,3518.9606726114935,5263.309352517985,2317.684009929151,1912.0438155353309,2764.064357693223,4949.894556339729,20725.956764626913,0.05178209192197536,1.0725956764626918
11/03/20,284.0592004,103.9,33.49151328,105.51,58.31640581,90.8242518,3382.8198856375393,4983.213429256594,2239.870534468395,1809.9743672809327,2701.234365662616,4764.229684677856,19881.342266983935,-0.04075153235311613,0.9881342266983939
12/03/20,267.2694995,96.96,31.76068572,91.81,53.62789653,83.62908121,3182.8737687772223,4650.359712230215,2124.1149512709967,1574.9573183590412,2484.0611325911714,4386.803560797593,18403.17044402624,-0.07434969948746517,0.8403170444026244
13/03/20,288.6816209,110.15,32.68379376,102.52,58.03136018,89.03555983,3437.8676220430466,5282.973621103117,2185.8512628446388,1758.682325216958,2688.0309619061054,4670.402989590027,20023.808782703894,0.08806299673237672,1.0023808782703898
16/03/20,270.4498012,92.72,31.00104474,95.01,51.85864775,84.25457472,3220.747521213114,4447.002398081535,2073.3111122909054,1629.8518115378772,2402.1089693952163,4419.614122832031,18192.635935350678,-0.09144977697424583,0.8192635935350681
17/03/20,293.189436,97.87,32.00107844,93.53,55.20056212,90.17481595,3491.550539334879,4694.00479616307,2140.1921158268974,1604.4631084426655,2556.907500236734,4730.163215716711,19217.281275720958,0.05632198346690709,0.9217281275720961
18/03/20,293.6765092,91.46,30.09716813,88.8,54.6403,91.28015377,3497.3510235452163,4386.570743405275,2012.8609747110313,1523.3221857126985,2530.955981597986,4788.144241150726,18739.205150122933,-0.02487740688908091,0.8739205150122935
19/03/20,291.4990053,93.69,28.46249765,94.93,53.20524265,93.82053532,3471.41944490386,4493.525179856115,1903.536256800963,1628.4794492084063,2464.4836711619405,4921.4011736445855,18882.84517557587,0.0076652144155642254,0.8882845175575873
20/03/20,277.3643311,86.68,26.5201245,85.98,51.16077739,92.08272081,3303.09165656454,4157.3141486810555,1773.6327690351345,1474.9464135988494,2369.7833935469516,4830.243280120316,17909.011661546847,-0.05157239308876149,0.790901166154685
